"Startx","Starty","Endx","Endy"
48.86,2.34,32.07,34.77
40.7242204,-74.1725735,32.07,34.77
47.38,8.540000000000001,32.07,34.77
40.6642738,-73.9385004,50.43,30.52
50.43,30.52,32.07,34.77
43.65,-79.38,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,52.37,4.89
52.37,4.89,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
37.759881,-122.437392,32.07,34.77
42.69,23.31,32.07,34.77
48.86,2.34,32.07,34.77
40.7242204,-74.1725735,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
48.86,2.34,32.07,34.77
42.69,23.31,32.07,34.77
44.83,20.5,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.7242204,-74.1725735,32.07,34.77
45.19,5.72,32.07,34.77
25.775163,-80.2086152,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
47.38,8.540000000000001,40.6642738,-73.9385004
40.6642738,-73.9385004,32.07,34.77
34.0193936,-118.4108248,32.07,34.77
40.6642738,-73.9385004,55.75,37.62
55.75,37.62,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
52.37,4.89,32.07,34.77
40.7242204,-74.1725735,32.07,34.77
42.69,23.31,32.07,34.77
41.1,29.,32.07,34.77
52.37,4.89,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
51.5,-0.1166667,32.07,34.77
41.1,29.,32.07,34.77
40.7242204,-74.1725735,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
51.5,-0.1166667,32.07,34.77
48.86,2.34,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
48.86,2.34,32.07,34.77
41.1,29.,32.07,34.77
41.1,29.,32.07,34.77
40.6642738,-73.9385004,52.37,4.89
52.37,4.89,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
52.52,13.38,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
37.98,23.73,32.07,34.77
50.83,4.33,32.07,34.77
33.6,-7.62,41.1,29.
41.1,29.,32.07,34.77
40.7242204,-74.1725735,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
42.69,23.31,41.1,29.
55.75,37.62,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
41.1,29.,32.07,34.77
40.7242204,-74.1725735,32.07,34.77
46.21,6.140000000000001,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
41.4,2.17,32.07,34.77
48.86,2.34,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
48.86,2.34,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
50.120000000000005,8.68,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
48.86,2.34,32.07,34.77
-23.53,-46.63,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
55.75,37.62,32.07,34.77
48.86,2.34,32.07,34.77
9.03,38.74,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
37.759881,-122.437392,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
48.86,2.34,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.7242204,-74.1725735,32.07,34.77
51.5,-0.1166667,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
41.1,29.,32.07,34.77
34.0193936,-118.4108248,32.07,34.77
51.5,-0.1166667,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
34.0193936,-118.4108248,32.07,34.77
48.86,2.34,32.07,34.77
55.75,37.62,32.07,34.77
9.03,38.74,32.07,34.77
40.7242204,-74.1725735,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
51.5,-0.1166667,32.07,34.77
51.5,-0.1166667,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
41.1,29.,32.07,34.77
48.86,2.34,32.07,34.77
48.86,2.34,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
50.83,4.33,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
34.0193936,-118.4108248,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
48.86,2.34,32.07,34.77
40.7242204,-74.1725735,32.07,34.77
40.7242204,-74.1725735,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
48.86,2.34,32.07,34.77
40.7242204,-74.1725735,32.07,34.77
9.03,38.74,32.07,34.77
47.51,19.08,32.07,34.77
48.86,2.34,32.07,34.77
"Switzerland",32.07,34.77
47.38,8.540000000000001,32.07,34.77
55.75,37.62,32.07,34.77
42.69,23.31,32.07,34.77
48.86,2.34,32.07,34.77
42.69,23.31,32.07,34.77
51.5,-0.1166667,32.07,34.77
9.03,38.74,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
13.73,100.5,32.07,34.77
55.75,37.62,32.07,34.77
55.75,37.62,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
51.5,-0.1166667,32.07,34.77
48.86,2.34,32.07,34.77
52.37,4.89,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
40.7242204,-74.1725735,32.07,34.77
40.6642738,-73.9385004,32.07,34.77
